strategy,epoch,train_loss,train_acc,test_loss,test_acc,lr
Feature Extraction,1,1.2494790471197552,0.4386863513106357,1.3129095647725226,0.4209891435464415,0.0009619397662556434
Feature Extraction,2,1.1128681518471935,0.546550165712564,1.31320469255758,0.43425814234016885,0.0008535533905932738
Feature Extraction,3,1.0535462315187667,0.583107361655117,1.2987667212871647,0.44913550462404506,0.0006913417161825451
Feature Extraction,4,1.023637745159391,0.5962639349201567,1.37797752532031,0.41777241656614394,0.0005000000000000001
Feature Extraction,5,0.9988062711823738,0.616852465602089,1.316892447963411,0.4479292320064335,0.0003086582838174552
Feature Extraction,6,0.9838113411310699,0.6229788088781761,1.3500919668943852,0.4398874145556896,0.0001464466094067263
Feature Extraction,7,0.9732085228672681,0.6359345184292458,1.331603736104762,0.4539605950944914,3.8060233744356646e-05
Feature Extraction,8,0.9745777885969161,0.6335241538616049,1.320730979106107,0.45958986731001206,0.0
Fine-tuning parcial,1,0.41732142104960784,0.9078035552877373,0.9020471104810551,0.7458785685564938,9.619397662556435e-05
Fine-tuning parcial,2,0.253038979599104,0.9911619965853169,0.815809482113156,0.771210293526337,8.535533905932738e-05
Fine-tuning parcial,3,0.22878033468686662,0.9975896354323591,0.6525849122381805,0.8548451950140732,6.91341716182545e-05
Fine-tuning parcial,4,0.22204877807156106,0.9987948177161796,0.6210595499956325,0.8636911942098915,5e-05
Fine-tuning parcial,5,0.21869734378898792,0.9991965451441197,0.5805354230270646,0.8600723763570567,3.086582838174551e-05
Fine-tuning parcial,6,0.21493296408115697,0.9995982725720599,0.612502590666634,0.8620828307197427,1.4644660940672627e-05
Fine-tuning parcial,7,0.21346438397685483,0.9995982725720599,0.6266950722626524,0.8576598311218335,3.8060233744356633e-06
Fine-tuning parcial,8,0.21283360885468738,0.9996987044290448,0.6022048318031374,0.8644953759549658,0.0
Fine-tuning total,1,0.858488551509827,0.6886612433463895,0.6195088172467013,0.8327301970245276,9.619397662556434e-06
Fine-tuning total,2,0.38595132451166625,0.9281912222556995,0.6097553649914998,0.8435866505830317,8.535533905932737e-06
Fine-tuning total,3,0.30324524813140386,0.9695691473335342,0.6726007448366286,0.8427824688379574,6.913417161825449e-06
Fine-tuning total,4,0.27690476877114445,0.9821231294566637,0.657612401747924,0.860876558102131,4.9999999999999996e-06
Fine-tuning total,5,0.2627891032909119,0.988751632017676,0.694947786296665,0.8464012866907921,3.086582838174551e-06
Fine-tuning total,6,0.25367406680184795,0.991664155870242,0.699550214353507,0.8455971049457177,1.4644660940672626e-06
Fine-tuning total,7,0.24818914293332955,0.9923671788691373,0.6760834601925327,0.8520305589063129,3.8060233744356634e-07
Fine-tuning total,8,0.2479755551122788,0.9933714974389877,0.6760978904362899,0.85243264977885,0.0
